Provinces Name,Provinces Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Klungkung, Kab.",ID.BA.KL,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Klungkung, Kab.",ID.BA.KL,Poverty Rate (in % of population),SI.POV.NAPR.ZS,7.01,6.91,6.35,6.29,5.86,5.4,4.87
"Tabanan, Kab.",ID.BA.TA,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Tabanan, Kab.",ID.BA.TA,Total Population (in number of people),SP.POP.TOTL,433279,435917,438489,441034,443510,445709,447994
"Tabanan, Kab.",ID.BA.TA,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Tabanan, Kab.",ID.BA.TA,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Tabanan, Kab.",ID.BA.TA,Poverty Rate (in % of population),SI.POV.NAPR.ZS,5.61,5.52,5,4.92,4.46,4.21,4.27
"Cilegon, Kota",ID.BT.CL,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Cilegon, Kota",ID.BT.CL,Total Population (in number of people),SP.POP.TOTL,405303,412106,418705,425103,431305,437205,442803
"Cilegon, Kota",ID.BT.CL,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Cilegon, Kota",ID.BT.CL,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Cilegon, Kota",ID.BT.CL,Poverty Rate (in % of population),SI.POV.NAPR.ZS,3.81,4.1,3.57,3.52,3.25,3.03,3.69
"Lebak, Kab.",ID.BT.LE,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Lebak, Kab.",ID.BT.LE,Total Population (in number of people),SP.POP.TOTL,1259305,1269812,1279412,1288103,1295810,1302608,1308406
"Lebak, Kab.",ID.BT.LE,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Lebak, Kab.",ID.BT.LE,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Lebak, Kab.",ID.BT.LE,Poverty Rate (in % of population),SI.POV.NAPR.ZS,9.17,9.97,8.71,8.64,8.41,8.3,9.24
"Pandeglang, Kab.",ID.BT.PA,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Pandeglang, Kab.",ID.BT.PA,Total Population (in number of people),SP.POP.TOTL,1188405,1194911,1200512,1205203,1209011,1211909,1214007
"Pandeglang, Kab.",ID.BT.PA,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Pandeglang, Kab.",ID.BT.PA,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Pandeglang, Kab.",ID.BT.PA,Poverty Rate (in % of population),SI.POV.NAPR.ZS,9.5,10.43,9.67,9.74,9.61,9.42,9.92
"Serang, Kab.",ID.BT.SE,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Serang, Kab.",ID.BT.SE,Total Population (in number of people),SP.POP.TOTL,1463094,1474301,1484502,1493591,1501501,1508397,1513996
"Serang, Kab.",ID.BT.SE,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Serang, Kab.",ID.BT.SE,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Serang, Kab.",ID.BT.SE,Poverty Rate (in % of population),SI.POV.NAPR.ZS,4.87,5.09,4.58,4.63,4.3,4.08,4.94
"Serang, Kota",ID.BT.SR,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Serang, Kota",ID.BT.SR,Total Population (in number of people),SP.POP.TOTL,631101,643205,655004,666600,677804,688603,699102
"Serang, Kota",ID.BT.SR,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Serang, Kota",ID.BT.SR,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Serang, Kota",ID.BT.SR,Poverty Rate (in % of population),SI.POV.NAPR.ZS,5.7,6.28,5.58,5.57,5.36,5.28,6.06
"Tangerang Selatan, Kota",ID.BT.TS,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Tangerang Selatan, Kota",ID.BT.TS,Total Population (in number of people),SP.POP.TOTL,1492999,1543209,1593812,1644899,1696308,1747906,1799605
"Tangerang Selatan, Kota",ID.BT.TS,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Tangerang Selatan, Kota",ID.BT.TS,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Tangerang Selatan, Kota",ID.BT.TS,Poverty Rate (in % of population),SI.POV.NAPR.ZS,1.68,1.69,1.67,1.76,1.68,1.68,2.29
"Tangerang, Kab.",ID.BT.TM,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Tangerang, Kab.",ID.BT.TM,Total Population (in number of people),SP.POP.TOTL,3264776,3370594,3477495,3584770,3692693,3800787,3908880
"Tangerang, Kab.",ID.BT.TM,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Tangerang, Kab.",ID.BT.TM,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Tangerang, Kab.",ID.BT.TM,Poverty Rate (in % of population),SI.POV.NAPR.ZS,5.26,5.71,5.29,5.39,5.18,5.14,6.23
"Tangerang, Kota",ID.BT.TN,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Tangerang, Kota",ID.BT.TN,Total Population (in number of people),SP.POP.TOTL,1999894,2047105,2093706,2139891,2185304,2229901,2273697
"Tangerang, Kota",ID.BT.TN,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Tangerang, Kota",ID.BT.TN,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Tangerang, Kota",ID.BT.TN,Poverty Rate (in % of population),SI.POV.NAPR.ZS,4.91,5.04,4.94,4.95,4.76,4.43,5.22
"Bengkulu Selatan, Kab.",ID.BE.BS,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Bengkulu Selatan, Kab.",ID.BE.BS,Total Population (in number of people),SP.POP.TOTL,150601,152194,153930,155427,156930,158409,159683
"Bengkulu Selatan, Kab.",ID.BE.BS,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Bengkulu Selatan, Kab.",ID.BE.BS,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Bengkulu Selatan, Kab.",ID.BE.BS,Poverty Rate (in % of population),SI.POV.NAPR.ZS,21.91,22.76,22.1,21.06,18.65,18.54,17.82
"Bengkulu Tengah, Kab.",ID.BE.BT,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
