Provinces Name,Provinces Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Temanggung, Kab.",ID.JT.TG,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Temanggung, Kab.",ID.JT.TG,Total Population (in number of people),SP.POP.TOTL,738881,745825,752486,759128,765594,772018,778188
"Temanggung, Kab.",ID.JT.TG,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Temanggung, Kab.",ID.JT.TG,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Temanggung, Kab.",ID.JT.TG,Poverty Rate (in % of population),SI.POV.NAPR.ZS,11.55,11.76,11.6,11.46,9.87,9.42,9.96
"Wonogiri, Kab.",ID.JT.WG,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Wonogiri, Kab.",ID.JT.WG,Total Population (in number of people),SP.POP.TOTL,945682,949017,951975,954706,957106,959492,961602
"Wonogiri, Kab.",ID.JT.WG,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Wonogiri, Kab.",ID.JT.WG,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Wonogiri, Kab.",ID.JT.WG,Poverty Rate (in % of population),SI.POV.NAPR.ZS,13.09,12.98,13.12,12.9,10.75,10.25,10.86
"Wonosobo, Kab.",ID.JT.WS,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Wonosobo, Kab.",ID.JT.WS,Total Population (in number of people),SP.POP.TOTL,773391,777122,780793,784207,787384,790504,793403
"Wonosobo, Kab.",ID.JT.WS,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Wonosobo, Kab.",ID.JT.WS,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Wonosobo, Kab.",ID.JT.WS,Poverty Rate (in % of population),SI.POV.NAPR.ZS,21.42,21.45,20.53,20.32,17.58,16.63,17.36
"Bangkalan, Kab.",ID.JI.BK,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Bangkalan, Kab.",ID.JI.BK,Total Population (in number of people),SP.POP.TOTL,945821,954305,962773,970894,978892,986672,994212
"Bangkalan, Kab.",ID.JI.BK,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Bangkalan, Kab.",ID.JI.BK,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Bangkalan, Kab.",ID.JI.BK,Poverty Rate (in % of population),SI.POV.NAPR.ZS,22.38,22.57,21.41,21.32,19.59,18.9,20.56
"Banyuwangi, Kab.",ID.JI.BW,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Banyuwangi, Kab.",ID.JI.BW,Total Population (in number of people),SP.POP.TOTL,1588082,1594083,1599811,1604897,1609677,1613991,1617814
"Banyuwangi, Kab.",ID.JI.BW,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Banyuwangi, Kab.",ID.JI.BW,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Banyuwangi, Kab.",ID.JI.BW,Poverty Rate (in % of population),SI.POV.NAPR.ZS,9.29,9.17,8.79,8.64,7.8,7.52,8.06
"Batu, Kota",ID.JI.BA,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Batu, Kota",ID.JI.BA,Total Population (in number of people),SP.POP.TOTL,198608,200485,202319,203997,205788,207490,209125
"Batu, Kota",ID.JI.BA,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Batu, Kota",ID.JI.BA,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Batu, Kota",ID.JI.BA,Poverty Rate (in % of population),SI.POV.NAPR.ZS,4.59,4.71,4.48,4.31,3.89,3.81,3.89
"Blitar, Kab.",ID.JI.BR,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Blitar, Kab.",ID.JI.BR,Total Population (in number of people),SP.POP.TOTL,1140793,1145396,1149710,1153803,1157500,1160677,1163789
"Blitar, Kab.",ID.JI.BR,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Blitar, Kab.",ID.JI.BR,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Blitar, Kab.",ID.JI.BR,Poverty Rate (in % of population),SI.POV.NAPR.ZS,10.22,9.97,9.88,9.8,9.72,8.94,9.33
"Blitar, Kota",ID.JI.BL,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Blitar, Kota",ID.JI.BL,Total Population (in number of people),SP.POP.TOTL,136903,137908,139117,139995,140971,141876,142798
"Blitar, Kota",ID.JI.BL,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Blitar, Kota",ID.JI.BL,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Blitar, Kota",ID.JI.BL,Poverty Rate (in % of population),SI.POV.NAPR.ZS,7.15,7.29,7.18,8.03,7.44,7.13,7.78
"Bojonegoro, Kab.",ID.JI.BJ,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Bojonegoro, Kab.",ID.JI.BJ,Total Population (in number of people),SP.POP.TOTL,1232386,1236607,1240383,1243906,1246927,1249692,1252020
"Bojonegoro, Kab.",ID.JI.BJ,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Bojonegoro, Kab.",ID.JI.BJ,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Bojonegoro, Kab.",ID.JI.BJ,Poverty Rate (in % of population),SI.POV.NAPR.ZS,15.48,15.71,14.6,14.34,13.16,12.38,12.87
"Bondowoso, Kab.",ID.JI.BD,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Bondowoso, Kab.",ID.JI.BD,Total Population (in number of people),SP.POP.TOTL,756989,761205,765094,768912,772297,775715,778789
"Bondowoso, Kab.",ID.JI.BD,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Bondowoso, Kab.",ID.JI.BD,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Bondowoso, Kab.",ID.JI.BD,Poverty Rate (in % of population),SI.POV.NAPR.ZS,14.76,14.96,15,14.54,14.39,13.33,14.17
"Gresik, Kab.",ID.JI.GR,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Gresik, Kab.",ID.JI.GR,Total Population (in number of people),SP.POP.TOTL,1241613,1256313,1270702,1285018,1299024,1312881,1326420
"Gresik, Kab.",ID.JI.GR,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Gresik, Kab.",ID.JI.GR,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Gresik, Kab.",ID.JI.GR,Poverty Rate (in % of population),SI.POV.NAPR.ZS,13.41,13.63,13.19,12.8,11.89,11.35,12.4
"Jember, Kab.",ID.JI.JE,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Jember, Kab.",ID.JI.JE,Total Population (in number of people),SP.POP.TOTL,2394608,2407115,2419000,2430185,2440714,2450668,2459890
"Jember, Kab.",ID.JI.JE,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Jember, Kab.",ID.JI.JE,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Jember, Kab.",ID.JI.JE,Poverty Rate (in % of population),SI.POV.NAPR.ZS,11.28,11.22,10.97,11,9.98,9.25,10.09
"Jombang, Kab.",ID.JI.JO,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Jombang, Kab.",ID.JI.JO,Total Population (in number of people),SP.POP.TOTL,1234501,1240985,1247303,1253078,1258618,1263814,1268504
"Jombang, Kab.",ID.JI.JO,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Jombang, Kab.",ID.JI.JO,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Jombang, Kab.",ID.JI.JO,Poverty Rate (in % of population),SI.POV.NAPR.ZS,10.8,10.79,10.7,10.48,9.56,9.22,9.94
"Kediri, Kab.",ID.JI.KR,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Kediri, Kab.",ID.JI.KR,Total Population (in number of people),SP.POP.TOTL,1538929,1546883,1554385,1561392,1568113,1574272,1580092
"Kediri, Kab.",ID.JI.KR,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Kediri, Kab.",ID.JI.KR,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Kediri, Kab.",ID.JI.KR,Poverty Rate (in % of population),SI.POV.NAPR.ZS,12.77,12.91,12.72,12.25,11.31,10.42,11.4
"Kediri, Kota",ID.JI.KD,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Kediri, Kota",ID.JI.KD,Total Population (in number of people),SP.POP.TOTL,278072,280004,281978,284003,285582,287409,289109
"Kediri, Kota",ID.JI.KD,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Kediri, Kota",ID.JI.KD,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Kediri, Kota",ID.JI.KD,Poverty Rate (in % of population),SI.POV.NAPR.ZS,7.95,8.51,8.4,8.49,7.68,7.16,7.69
"Lamongan, Kab.",ID.JI.LA,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Lamongan, Kab.",ID.JI.LA,Total Population (in number of people),SP.POP.TOTL,1187084,1187795,1188193,1188478,1188913,1189106,1189380
"Lamongan, Kab.",ID.JI.LA,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Lamongan, Kab.",ID.JI.LA,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Lamongan, Kab.",ID.JI.LA,Poverty Rate (in % of population),SI.POV.NAPR.ZS,15.68,15.38,14.89,14.42,13.8,13.21,13.85
"Lumajang, Kab.",ID.JI.LU,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Lumajang, Kab.",ID.JI.LU,Total Population (in number of people),SP.POP.TOTL,1026378,1030193,1033698,1036823,1039794,1042395,1044718
"Lumajang, Kab.",ID.JI.LU,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Lumajang, Kab.",ID.JI.LU,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Lumajang, Kab.",ID.JI.LU,Poverty Rate (in % of population),SI.POV.NAPR.ZS,11.75,11.52,11.22,10.87,9.98,9.49,9.83
"Madiun, Kab.",ID.JI.MN,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Madiun, Kab.",ID.JI.MN,Total Population (in number of people),SP.POP.TOTL,673988,676087,677993,679888,681394,682684,683784
"Madiun, Kab.",ID.JI.MN,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Madiun, Kab.",ID.JI.MN,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Madiun, Kab.",ID.JI.MN,Poverty Rate (in % of population),SI.POV.NAPR.ZS,12.04,12.54,12.69,12.28,11.42,10.54,11.46
"Madiun, Kota",ID.JI.MD,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Madiun, Kota",ID.JI.MD,Total Population (in number of people),SP.POP.TOTL,174373,174995,175607,176099,176697,177007,177399
"Madiun, Kota",ID.JI.MD,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Madiun, Kota",ID.JI.MD,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Madiun, Kota",ID.JI.MD,Poverty Rate (in % of population),SI.POV.NAPR.ZS,4.86,4.89,5.16,4.94,4.49,4.35,4.98
"Magetan, Kab.",ID.JI.MT,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Magetan, Kab.",ID.JI.MT,Total Population (in number of people),SP.POP.TOTL,626614,627413,627984,628609,628924,628977,629020
"Magetan, Kab.",ID.JI.MT,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Magetan, Kab.",ID.JI.MT,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Magetan, Kab.",ID.JI.MT,Poverty Rate (in % of population),SI.POV.NAPR.ZS,11.8,11.35,11.03,10.48,10.31,9.61,10.35
"Malang, Kab.",ID.JI.MG,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Malang, Kab.",ID.JI.MG,Total Population (in number of people),SP.POP.TOTL,2527087,2544315,2560675,2576596,2591795,2606204,2619975
"Malang, Kab.",ID.JI.MG,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Malang, Kab.",ID.JI.MG,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Malang, Kab.",ID.JI.MG,Poverty Rate (in % of population),SI.POV.NAPR.ZS,11.07,11.53,11.49,11.04,10.37,9.47,10.15
"Malang, Kota",ID.JI.ML,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Malang, Kota",ID.JI.ML,Total Population (in number of people),SP.POP.TOTL,845973,851298,856410,861414,866118,870682,874890
"Malang, Kota",ID.JI.ML,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Malang, Kota",ID.JI.ML,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Malang, Kota",ID.JI.ML,Poverty Rate (in % of population),SI.POV.NAPR.ZS,4.8,4.6,4.33,4.17,4.1,4.07,4.44
"Mojokerto, Kab.",ID.JI.MK,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Mojokerto, Kab.",ID.JI.MK,Total Population (in number of people),SP.POP.TOTL,1070486,1080389,1090075,1099504,1108718,1117688,1126392
"Mojokerto, Kab.",ID.JI.MK,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Mojokerto, Kab.",ID.JI.MK,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Mojokerto, Kab.",ID.JI.MK,Poverty Rate (in % of population),SI.POV.NAPR.ZS,10.56,10.57,10.61,10.19,10.08,9.75,10.57
"Mojokerto, Kota",ID.JI.MJ,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Mojokerto, Kota",ID.JI.MJ,Total Population (in number of people),SP.POP.TOTL,124719,125706,126404,127279,128282,129014,129891
"Mojokerto, Kota",ID.JI.MJ,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Mojokerto, Kota",ID.JI.MJ,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Mojokerto, Kota",ID.JI.MJ,Poverty Rate (in % of population),SI.POV.NAPR.ZS,6.42,6.16,5.73,5.73,5.5,5.15,6.24
"Nganjuk, Kab.",ID.JI.NJ,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Nganjuk, Kab.",ID.JI.NJ,Total Population (in number of people),SP.POP.TOTL,1037723,1041716,1045375,1048799,1051900,1054611,1057011
"Nganjuk, Kab.",ID.JI.NJ,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Nganjuk, Kab.",ID.JI.NJ,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Nganjuk, Kab.",ID.JI.NJ,Poverty Rate (in % of population),SI.POV.NAPR.ZS,13.14,12.69,12.25,11.98,12.11,11.24,11.62
"Ngawi, Kab.",ID.JI.NW,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Ngawi, Kab.",ID.JI.NW,Total Population (in number of people),SP.POP.TOTL,827829,828783,829480,829899,830090,830108,830134
"Ngawi, Kab.",ID.JI.NW,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Ngawi, Kab.",ID.JI.NW,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Ngawi, Kab.",ID.JI.NW,Poverty Rate (in % of population),SI.POV.NAPR.ZS,14.88,15.61,15.27,14.91,14.83,14.39,15.44
"Pacitan, Kab.",ID.JI.PC,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Pacitan, Kab.",ID.JI.PC,Total Population (in number of people),SP.POP.TOTL,549481,550986,552307,553388,554394,555304,555984
"Pacitan, Kab.",ID.JI.PC,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Pacitan, Kab.",ID.JI.PC,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Pacitan, Kab.",ID.JI.PC,Poverty Rate (in % of population),SI.POV.NAPR.ZS,16.18,16.68,15.49,15.42,14.19,13.67,14.54
"Pamekasan, Kab.",ID.JI.PK,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Pamekasan, Kab.",ID.JI.PK,Total Population (in number of people),SP.POP.TOTL,836224,845314,854194,863004,871497,879992,888214
"Pamekasan, Kab.",ID.JI.PK,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Pamekasan, Kab.",ID.JI.PK,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Pamekasan, Kab.",ID.JI.PK,Poverty Rate (in % of population),SI.POV.NAPR.ZS,17.74,17.41,16.7,16,14.47,13.95,14.6
"Pasuruan, Kab.",ID.JI.PR,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Pasuruan, Kab.",ID.JI.PR,Total Population (in number of people),SP.POP.TOTL,1569507,1581787,1593683,1605307,1616578,1627396,1637682
"Pasuruan, Kab.",ID.JI.PR,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Pasuruan, Kab.",ID.JI.PR,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Pasuruan, Kab.",ID.JI.PR,Poverty Rate (in % of population),SI.POV.NAPR.ZS,10.86,10.72,10.57,10.34,9.45,8.68,9.26
"Pasuruan, Kota",ID.JI.PS,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Pasuruan, Kota",ID.JI.PS,Total Population (in number of people),SP.POP.TOTL,193329,194815,196202,197696,199078,200422,201585
"Pasuruan, Kota",ID.JI.PS,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Pasuruan, Kota",ID.JI.PS,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Pasuruan, Kota",ID.JI.PS,Poverty Rate (in % of population),SI.POV.NAPR.ZS,7.34,7.47,7.62,7.53,6.77,6.46,6.66
"Ponorogo, Kab.",ID.JI.PG,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Ponorogo, Kab.",ID.JI.PG,Total Population (in number of people),SP.POP.TOTL,865809,867393,868814,869894,870705,871370,871825
"Ponorogo, Kab.",ID.JI.PG,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Ponorogo, Kab.",ID.JI.PG,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Ponorogo, Kab.",ID.JI.PG,Poverty Rate (in % of population),SI.POV.NAPR.ZS,11.53,11.91,11.75,11.39,10.36,9.64,9.95
"Probolinggo, Kab.",ID.JI.PL,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Probolinggo, Kab.",ID.JI.PL,Total Population (in number of people),SP.POP.TOTL,1132690,1140480,1148012,1155214,1162092,1168503,1174890
"Probolinggo, Kab.",ID.JI.PL,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Probolinggo, Kab.",ID.JI.PL,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Probolinggo, Kab.",ID.JI.PL,Poverty Rate (in % of population),SI.POV.NAPR.ZS,20.44,20.82,20.98,20.52,18.71,17.76,18.61
"Probolinggo, Kota",ID.JI.PO,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Probolinggo, Kota",ID.JI.PO,Total Population (in number of people),SP.POP.TOTL,226777,229013,231112,233123,235211,237208,239024
"Probolinggo, Kota",ID.JI.PO,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Probolinggo, Kota",ID.JI.PO,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Probolinggo, Kota",ID.JI.PO,Poverty Rate (in % of population),SI.POV.NAPR.ZS,8.37,8.17,7.97,7.84,7.2,6.91,7.43
"Sampang, Kab.",ID.JI.SA,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Sampang, Kab.",ID.JI.SA,Total Population (in number of people),SP.POP.TOTL,925911,936801,947614,958082,968520,978875,989001
"Sampang, Kab.",ID.JI.SA,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Sampang, Kab.",ID.JI.SA,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Sampang, Kab.",ID.JI.SA,Poverty Rate (in % of population),SI.POV.NAPR.ZS,25.8,25.69,24.11,23.56,21.21,20.71,22.78
"Sidoarjo, Kab.",ID.JI.SD,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Sidoarjo, Kab.",ID.JI.SD,Total Population (in number of people),SP.POP.TOTL,2083924,2117279,2150482,2183682,2216804,2249476,2282215
"Sidoarjo, Kab.",ID.JI.SD,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Sidoarjo, Kab.",ID.JI.SD,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Sidoarjo, Kab.",ID.JI.SD,Poverty Rate (in % of population),SI.POV.NAPR.ZS,6.4,6.44,6.39,6.23,5.69,5.32,5.59
"Situbondo, Kab.",ID.JI.SB,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Situbondo, Kab.",ID.JI.SB,Total Population (in number of people),SP.POP.TOTL,666013,669713,673282,676703,679993,682978,685776
"Situbondo, Kab.",ID.JI.SB,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Situbondo, Kab.",ID.JI.SB,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Situbondo, Kab.",ID.JI.SB,Poverty Rate (in % of population),SI.POV.NAPR.ZS,13.15,13.63,13.34,13.05,11.82,11.2,12.22
"Sumenep, Kab.",ID.JI.SM,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Sumenep, Kab.",ID.JI.SM,Total Population (in number of people),SP.POP.TOTL,1067202,1072113,1076805,1081204,1085227,1088910,1092387
"Sumenep, Kab.",ID.JI.SM,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Sumenep, Kab.",ID.JI.SM,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Sumenep, Kab.",ID.JI.SM,Poverty Rate (in % of population),SI.POV.NAPR.ZS,20.49,20.2,20.09,19.62,20.16,19.48,20.18
"Surabaya, Kota",ID.JI.SR,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Surabaya, Kota",ID.JI.SR,Total Population (in number of people),SP.POP.TOTL,2833924,2848583,2862406,2874699,2885555,2896195,2904751
"Surabaya, Kota",ID.JI.SR,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Surabaya, Kota",ID.JI.SR,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Surabaya, Kota",ID.JI.SR,Poverty Rate (in % of population),SI.POV.NAPR.ZS,5.79,5.82,5.63,5.39,4.88,4.51,5.02
"Trenggalek, Kab.",ID.JI.TR,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
