"Model","LogLik","nParams","AIC","BIC","Runtime_mins"
"M5: Violence + State",13062.008043236,5,-26114.0160864721,-26075.470518186,68.0324754158656
"M3: State intervention",13055.4515686105,4,-26102.903137221,-26072.0666825922,18.1528864343961
"M6: Fatalities + State",13056.0036960686,5,-26102.0073921372,-26063.4618238511,67.4688484152158
"M4: Violence + Fatalities",13055.6594201474,5,-26101.3188402948,-26062.7732720087,62.3248050491015
"M1: Violence effect",13054.5655284471,4,-26101.1310568941,-26070.2946022653,65.1789551019669
"M2: Fatality effect",13043.4186338819,4,-26078.8372677638,-26048.0008131349,63.9228635668755
"M0: Baseline (no marks)",13042.3630136326,3,-26078.7260272652,-26055.5986862935,35.5655985474586
"M7: Full model (all marks)",9146.84900561995,6,-18281.6980112399,-18235.4433292966,59.9398932337761
