"event_id_cnty","NAME_2","TYPE_2","district"
"IDN17946","Garut","Kabupaten","Garut, Kab."
"IDN17954","Palangka Raya","Kota","Palangka Raya, Kota"
"IDN17955","Palu","Kota","Palu, Kota"
"IDN18069","Tarakan","NA","Tarakan, Kab."
"IDN17901","Bangkalan","Kabupaten","Bangkalan, Kab."
"IDN17925","Tangerang","Kabupaten","Tangerang, Kab."
"IDN17857","Manokwari","Kabupaten","Manokwari, Kab."
"IDN17869","Sorong","Kabupaten","Sorong, Kab."
"IDN17928","Manokwari","Kabupaten","Manokwari, Kab."
"IDN18025","Kota Jayapura","Kota","Jayapura, Kota"
"IDN17995","Makassar","Kota","Makassar, Kota"
"IDN17841","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN17932","Banyumas","Kabupaten","Banyumas, Kab."
"IDN17861","Lebak","Kabupaten","Lebak, Kab."
"IDN17898","Tual","Kota","Tual, Kota"
"IDN18020","Tolikara","Kabupaten","Tolikara, Kab."
"IDN17903","Banyuwangi","Kabupaten","Banyuwangi, Kab."
"IDN17853","Palopo","Kota","Palopo, Kota"
"IDN17908","Jambi","Kota","Jambi, Kota"
"IDN17845","Kota Cirebon","Kota","Cirebon, Kota"
"IDN17914","Banggai","Kabupaten","Banggai, Kab."
"IDN17906","Buleleng","Kabupaten","Buleleng, Kab."
"IDN17916","Tana Toraja","Kabupaten","Tana Toraja, Kab."
"IDN17915","Majalengka","Kabupaten","Majalengka, Kab."
"IDN17949","Banda Aceh","Kota","Banda Aceh, Kota"
"IDN17933","Kota Gorontalo","Kota","Gorontalo, Kota"
"IDN17846","Denpasar","Kota","Denpasar, Kota"
"IDN17847","Indramayu","Kabupaten","Indramayu, Kab."
"IDN17944","Mataram","Kota","Mataram, Kota"
"IDN17856","Sidoarjo","Kabupaten","Sidoarjo, Kab."
"IDN17952","Lhokseumawe","Kota","Lhokseumawe, Kota"
"IDN17929","Kota Kediri","Kota","Kediri, Kota"
"IDN17855","Gowa","Kabupaten","Gowa, Kab."
"IDN17848","Purwakarta","Kabupaten","Purwakarta, Kab."
"IDN17859","Kota Tegal","Kota","Tegal, Kota"
"IDN17985","Depok","Kota","Depok, Kota"
"IDN18006","Kota Probolinggo","Kota","Probolinggo, Kota"
"IDN18007","Mamuju","Kabupaten","Mamuju, Kab."
"IDN18008","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18011","Kota Semarang","Kota","Semarang, Kota"
"IDN18014","Lamongan","Kabupaten","Lamongan, Kab."
"IDN18031","Makassar","Kota","Makassar, Kota"
"IDN18048","Bulungan","NA","Bulungan, Kab."
"IDN18054","Badung","Kabupaten","Badung, Kab."
"IDN18055","Musi Banyuasin","Kabupaten","Musi Banyuasin, Kab."
"IDN18056","Morowali","Kabupaten","Morowali, Kab."
"IDN18057","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18000","Ciamis","Kabupaten","Ciamis, Kab."
"IDN18005","Jombang","Kabupaten","Jombang, Kab."
"IDN18017","Kota Semarang","Kota","Semarang, Kota"
"IDN18026","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18049","Sumenep","Kabupaten","Sumenep, Kab."
"IDN18051","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18052","Depok","Kota","Depok, Kota"
"IDN17973","Cianjur","Kabupaten","Cianjur, Kab."
"IDN17974","Kota Bandung","Kota","Bandung, Kota"
"IDN18009","Mamuju","Kabupaten","Mamuju, Kab."
"IDN18010","Trenggalek","Kabupaten","Trenggalek, Kab."
"IDN18012","Hulu Sungai Tengah","Kabupaten","Hulu Sungai Tengah, Kab."
"IDN18016","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18018","Bogor","Kabupaten","Bogor, Kab."
"IDN18019","Surabaya","Kota","Surabaya, Kota"
"IDN18027","Bojonegoro","Kabupaten","Bojonegoro, Kab."
"IDN18032","Salatiga","Kota","Salatiga, Kota"
"IDN18033","Sinjai","Kabupaten","Sinjai, Kab."
"IDN18034","Sumenep","Kabupaten","Sumenep, Kab."
"IDN18035","Gorontalo","Kabupaten","Gorontalo, Kab."
"IDN18037","Ambon","Kota","Ambon, Kota"
"IDN18038","Samarinda","Kota","Samarinda, Kota"
"IDN18040","Makassar","Kota","Makassar, Kota"
"IDN18041","Tulungagung","Kabupaten","Tulungagung, Kab."
"IDN18043","Palu","Kota","Palu, Kota"
"IDN18058","Sikka","Kabupaten","Sikka, Kab."
"IDN18059","Purwakarta","Kabupaten","Purwakarta, Kab."
"IDN18060","Surabaya","Kota","Surabaya, Kota"
"IDN18062","Kota Medan","Kota","Medan, Kota"
"IDN18063","Palembang","Kota","Palembang, Kota"
"IDN18064","Mukomuko","Kabupaten","Mukomuko, Kab."
"IDN18087","Boalemo","Kabupaten","Boalemo, Kab."
"IDN18050","Sleman","Kabupaten","Sleman, Kab."
"IDN17994","Samarinda","Kota","Samarinda, Kota"
"IDN18070","Makassar","Kota","Makassar, Kota"
"IDN18021","Kota Jayapura","Kota","Jayapura, Kota"
"IDN18022","Kota Sorong","Kota","Sorong, Kota"
"IDN18023","Kota Sorong","Kota","Sorong, Kota"
"IDN18072","Pandeglang","Kabupaten","Pandeglang, Kab."
"IDN18139","Nabire","Kabupaten","Nabire, Kab."
"IDN18140","Dogiyai","Kabupaten","Dogiyai, Kab."
"IDN18146","Puncak","Kabupaten","Puncak, Kab."
"IDN18071","Kota Semarang","Kota","Semarang, Kota"
"IDN17998","Ketapang","Kabupaten","Ketapang, Kab."
"IDN18001","Asahan","Kabupaten","Asahan, Kab."
"IDN18002","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18004","Padang","Kota","Padang, Kota"
"IDN18028","Situbondo","Kabupaten","Situbondo, Kab."
"IDN18065","Situbondo","Kabupaten","Situbondo, Kab."
"IDN17999","Tasikmalaya","Kabupaten","Tasikmalaya, Kab."
"IDN18039","Banda Aceh","Kota","Banda Aceh, Kota"
"IDN18003","Kota Bekasi","Kota","Bekasi, Kota"
"IDN18036","Kendal","Kabupaten","Kendal, Kab."
"IDN18061","Surakarta","Kota","Surakarta, Kota"
"IDN18042","Gowa","Kabupaten","Gowa, Kab."
