"Model","LogLik","nParams","AIC","BIC","Runtime_mins"
"M3: Spatial-temporal-marks (additive)",8629.74313754988,7,-17245.4862750998,-17191.5224794992,10.4108137170474
"M1: Spatial-temporal (no marks)",2048.68578738617,5,-4087.37157477233,-4048.82600648624,3.86618806918462
"M4: Spatial-mark interaction",2049.18157976143,9,-4080.36315952285,-4010.98113660789,9.03744803269704
