"Model","LogLik","nParams","AIC","BIC","Runtime_mins"
"M1: Spatial-temporal (no marks)",8629.11765503642,4,-17250.2353100728,-17219.398855444,15.4531160831451
"M3: Spatial-temporal-marks (additive)",8629.15660127029,6,-17246.3132025406,-17200.0585205973,18.9454879999161
"M4: Spatial-mark interaction",8629.152249627,7,-17244.304499254,-17190.3407036535,24.233534681797
