"Model","LogLik","nParams","AIC","BIC","Runtime_mins"
"M1: Spatial-temporal (no marks)",-2263.87902309991,4,4535.75804619981,4555.38906731574,0.1478888630867
"M3: Spatial-temporal-marks (additive)",-2263.86131544043,6,4539.72263088085,4569.16916255474,0.206371748447418
"M4: Spatial-mark interaction",-2398.5250463026,7,4811.0500926052,4845.40437955808,0.229639701048533
