"Model","LogLik","nParams","AIC","BIC","Runtime_mins"
"M1: Spatial-temporal (no marks)",-2263.87902309991,4,4535.75804619981,4555.38906731574,0.173803067207336
"M3: Spatial-temporal-marks (additive)",-2263.86131544045,6,4539.7226308809,4569.16916255479,0.237549130121867
"M4: Spatial-mark interaction",-2398.5250463026,7,4811.0500926052,4845.40437955808,0.265380915006002
