"Model","LogLik","nParams","AIC","BIC"
"M1: Violence effect",-2020.15474759006,4,4048.30949518013,4067.94051629606
"M4: Violence + Fatalities",-2019.28121626513,5,4048.56243253027,4073.10120892518
"M5: Violence + State",-2019.72787674658,5,4049.45575349315,4073.99452988806
"M3: State intervention",-2020.78154713764,4,4049.56309427528,4069.19411539121
"M0: Baseline (no marks)",-2021.8126027108,3,4049.6252054216,4064.34847125855
"M6: Fatalities + State",-2019.82317013931,5,4049.64634027863,4074.18511667354
"M7: Full model (all marks)",-2019.71876758219,6,4051.43753516438,4080.88406683827
"M2: Fatality effect",-2022.11213201998,4,4052.22426403995,4071.85528515588
