"district","year","poverty_rate","extrapolated"
"Aceh Utara, Kab.",2017,19.78,FALSE
"Aceh Utara, Kab.",2018,18.27,FALSE
"Aceh Utara, Kab.",2019,17.39,FALSE
"Aceh Utara, Kab.",2020,17.02,FALSE
"Aceh Utara, Kab.",2021,16.395,TRUE
"Aceh Utara, Kab.",2022,15.77,TRUE
"Aceh Utara, Kab.",2023,15.145,TRUE
"Aceh Utara, Kab.",2024,14.52,TRUE
"Adm. Kepulauan Seribu, Kab.",2015,11.4,FALSE
"Adm. Kepulauan Seribu, Kab.",2016,12.58,FALSE
"Adm. Kepulauan Seribu, Kab.",2017,12.98,FALSE
"Adm. Kepulauan Seribu, Kab.",2018,11.98,FALSE
"Adm. Kepulauan Seribu, Kab.",2019,12.09,FALSE
"Adm. Kepulauan Seribu, Kab.",2020,14.87,FALSE
"Adm. Kepulauan Seribu, Kab.",2021,16.315,TRUE
"Adm. Kepulauan Seribu, Kab.",2022,17.76,TRUE
"Adm. Kepulauan Seribu, Kab.",2023,19.205,TRUE
"Adm. Kepulauan Seribu, Kab.",2024,20.65,TRUE
"Agam, Kab.",2015,7.58,FALSE
"Agam, Kab.",2016,7.83,FALSE
"Agam, Kab.",2017,7.59,FALSE
"Agam, Kab.",2018,6.76,FALSE
"Agam, Kab.",2019,6.75,FALSE
"Agam, Kab.",2020,6.75,FALSE
"Agam, Kab.",2021,6.745,TRUE
"Agam, Kab.",2022,6.74,TRUE
"Agam, Kab.",2023,6.735,TRUE
"Agam, Kab.",2024,6.73,TRUE
"Alor, Kab.",2015,22.92,FALSE
"Alor, Kab.",2016,22.35,FALSE
"Alor, Kab.",2017,21.67,FALSE
"Alor, Kab.",2018,21.63,FALSE
"Alor, Kab.",2019,21.59,FALSE
"Alor, Kab.",2020,21.09,FALSE
"Alor, Kab.",2021,20.82,TRUE
"Alor, Kab.",2022,20.55,TRUE
"Alor, Kab.",2023,20.28,TRUE
"Alor, Kab.",2024,20.01,TRUE
"Ambon, Kota",2015,4.38,FALSE
"Ambon, Kota",2016,4.64,FALSE
"Ambon, Kota",2017,4.46,FALSE
"Ambon, Kota",2018,4.72,FALSE
"Ambon, Kota",2019,4.57,FALSE
"Ambon, Kota",2020,4.51,FALSE
"Ambon, Kota",2021,4.405,TRUE
"Ambon, Kota",2022,4.3,TRUE
"Ambon, Kota",2023,4.195,TRUE
"Ambon, Kota",2024,4.09,TRUE
"Asahan, Kab.",2015,12.09,FALSE
"Asahan, Kab.",2016,11.86,FALSE
"Asahan, Kab.",2017,11.67,FALSE
"Asahan, Kab.",2018,10.25,FALSE
"Asahan, Kab.",2019,9.68,FALSE
"Asahan, Kab.",2020,9.04,FALSE
"Asahan, Kab.",2021,8.435,TRUE
"Asahan, Kab.",2022,7.83,TRUE
"Asahan, Kab.",2023,7.225,TRUE
"Asahan, Kab.",2024,6.62,TRUE
"Asmat, Kab.",2015,28.48,FALSE
"Asmat, Kab.",2016,27.79,FALSE
"Asmat, Kab.",2017,27.16,FALSE
"Asmat, Kab.",2018,27.41,FALSE
"Asmat, Kab.",2019,26.6,FALSE
"Asmat, Kab.",2020,25.49,FALSE
"Asmat, Kab.",2021,24.53,TRUE
"Asmat, Kab.",2022,23.57,TRUE
"Asmat, Kab.",2023,22.61,TRUE
"Asmat, Kab.",2024,21.65,TRUE
"Badung, Kab.",2015,2.33,FALSE
"Badung, Kab.",2016,2.06,FALSE
"Badung, Kab.",2017,2.06,FALSE
"Badung, Kab.",2018,1.98,FALSE
"Badung, Kab.",2019,1.78,FALSE
"Badung, Kab.",2020,2.02,FALSE
"Badung, Kab.",2021,2.04,TRUE
"Badung, Kab.",2022,2.06,TRUE
"Badung, Kab.",2023,2.08,TRUE
"Badung, Kab.",2024,2.1,TRUE
"Balangan, Kab.",2015,5.87,FALSE
"Balangan, Kab.",2016,5.67,FALSE
"Balangan, Kab.",2017,5.68,FALSE
"Balangan, Kab.",2018,5.59,FALSE
"Balangan, Kab.",2019,5.55,FALSE
"Balangan, Kab.",2020,5.32,FALSE
"Balangan, Kab.",2021,5.185,TRUE
"Balangan, Kab.",2022,5.05,TRUE
"Balangan, Kab.",2023,4.915,TRUE
"Balangan, Kab.",2024,4.78,TRUE
"Balikpapan, Kota",2015,2.91,FALSE
"Balikpapan, Kota",2016,2.81,FALSE
"Balikpapan, Kota",2017,2.82,FALSE
"Balikpapan, Kota",2018,2.64,FALSE
"Balikpapan, Kota",2019,2.42,FALSE
"Balikpapan, Kota",2020,2.57,FALSE
"Balikpapan, Kota",2021,2.535,TRUE
"Balikpapan, Kota",2022,2.5,TRUE
"Balikpapan, Kota",2023,2.465,TRUE
"Balikpapan, Kota",2024,2.43,TRUE
"Banda Aceh, Kota",2015,7.72,FALSE
"Banda Aceh, Kota",2016,7.41,FALSE
"Banda Aceh, Kota",2017,7.44,FALSE
"Banda Aceh, Kota",2018,7.25,FALSE
"Banda Aceh, Kota",2019,7.22,FALSE
"Banda Aceh, Kota",2020,6.9,FALSE
"Banda Aceh, Kota",2021,6.725,TRUE
"Banda Aceh, Kota",2022,6.55,TRUE
"Banda Aceh, Kota",2023,6.375,TRUE
"Banda Aceh, Kota",2024,6.2,TRUE
"Bandar Lampung, Kota",2015,10.33,FALSE
"Bandar Lampung, Kota",2016,10.15,FALSE
"Bandar Lampung, Kota",2017,9.94,FALSE
"Bandar Lampung, Kota",2018,9.04,FALSE
"Bandar Lampung, Kota",2019,8.71,FALSE
"Bandar Lampung, Kota",2020,8.81,FALSE
"Bandar Lampung, Kota",2021,8.695,TRUE
"Bandar Lampung, Kota",2022,8.58,TRUE
"Bandar Lampung, Kota",2023,8.465,TRUE
"Bandar Lampung, Kota",2024,8.35,TRUE
"Bandung Barat, Kab.",2015,12.67,FALSE
